,mode,cluster,rps,routing_rule,tput,req_type,avg,99%
0,profile,west,100,LOCAL,99,light,17.18,33.5
7,profile,west,200,LOCAL,199,light,17.66,32.67
1,profile,west,300,LOCAL,298,light,18.09,47.62
13,profile,west,400,LOCAL,395,light,16.19,32.08
12,profile,west,500,LOCAL,497,light,16.8,33.12
11,profile,west,600,LOCAL,594,light,20.26,40.64
10,profile,west,700,LOCAL,686,light,18.65,41.85
5,profile,west,800,LOCAL,757,light,18.16,40.86
2,profile,west,900,LOCAL,889,light,16.99,37.95
3,profile,west,1000,LOCAL,994,light,18.21,45.95
9,profile,west,1100,LOCAL,1086,light,20.09,48.58
4,profile,west,1200,LOCAL,1176,light,23.91,58.27
8,profile,west,1300,LOCAL,1284,light,32.32,82.11
6,profile,west,1400,LOCAL,1377,light,38.67,115.07
