svc_name,endpoint,feature,value
emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,9.936448818673529e-06
emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,intercept,0.6534651991075751
checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0.00017738729458605993
checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,intercept,-2.716972628760134
currencyservice,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies,1.0262065848560658e-05
currencyservice,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies,intercept,2.6347766564897106
recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,6.438073455438398e-05
recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,intercept,-5.080348027247836
cartservice,cartservice@POST@/hipstershop.CartService/GetCart,cartservice@POST@/hipstershop.CartService/GetCart,9.924565594376411e-06
cartservice,cartservice@POST@/hipstershop.CartService/GetCart,intercept,1.6647105193977527
paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,paymentservice@POST@/hipstershop.PaymentService/Charge,7.64750763700379e-06
paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,intercept,1.6906146020930053
sslateingress,sslateingress@POST@/cart/checkout,sslateingress@POST@/cart/checkout,1.3967672829038342e-05
sslateingress,sslateingress@POST@/cart/checkout,intercept,3.5635056561144616
shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,5.032082608540754e-06
shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,intercept,0.6730818339122236
frontend,frontend@POST@/cart/checkout,frontend@POST@/cart/checkout,0.0001827545717746363
frontend,frontend@POST@/cart/checkout,intercept,-5.521884050423353
frontend,frontend@POST@/cart,frontend@POST@/cart,3.0282626879095734e-06
frontend,frontend@POST@/cart,intercept,21.451918211973393
cartservice,cartservice@POST@/hipstershop.CartService/AddItem,cartservice@POST@/hipstershop.CartService/AddItem,1.9039270660836153e-06
cartservice,cartservice@POST@/hipstershop.CartService/AddItem,intercept,1.9625500527634905
productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,3.922594907511577e-07
productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,intercept,1.402151207517301
sslateingress,sslateingress@POST@/cart,sslateingress@POST@/cart,7.471977818499887e-06
sslateingress,sslateingress@POST@/cart,intercept,9.53458838893991
sslateingress,sslateingress@POST@/cart/empty,sslateingress@POST@/cart/empty,2.401000441084553e-05
sslateingress,sslateingress@POST@/cart/empty,intercept,232.68679156235606
frontend,frontend@POST@/cart/empty,frontend@POST@/cart/empty,4.855905222763634e-06
frontend,frontend@POST@/cart/empty,intercept,15.063959432324433
cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,cartservice@POST@/hipstershop.CartService/EmptyCart,1.152769854735542e-06
cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,intercept,5.323979209782323
sslateingress,sslateingress@POST@/setCurrency,sslateingress@POST@/setCurrency,3.4041421963717495e-05
sslateingress,sslateingress@POST@/setCurrency,intercept,-111.18504309124404
frontend,frontend@POST@/setCurrency,frontend@POST@/setCurrency,1.3477850152079612e-07
frontend,frontend@POST@/setCurrency,intercept,1.206842922525852

